正文 nz
时候 n
， x
突然 ad
听见 v
外面 f
传来 v
一阵 m
机器 n
的 uj
轰鸣声 i
， x
这 r
声音 n
不 d
像是 v
拖拉机 n
的 uj
声音 n
， x
是 v
什么 r
在 p
响动 v
呢 y
？ x
我 r
笑 v
了 ul
。 x
我 r
记起 v
了 ul
上午 t
吴有雄 x
对 p
我 r
说 v
过 ug
的话 u
。 x
我 r
走 v
过去 t
， x
拉 v
了 ul
拉 v
电灯 n
的 uj
开关 v
。 x
黑暗 z
的 uj
小 n
屋子 n
一下子 m
被 p
电灯 n
光照 n
得 ud
雪亮 nr
！ x
多么 r
好 a
， x
电灯 n
！ x
我 r
兴奋 v
地 uv
坐在 v
了 ul
桌前 s
， x
铺开 v
纸 n
在 p
明亮 a
的 uj
灯光 n
下 f
开始 v
给 p
薛峰 x
写信 v
― x
― x
我 r
要 v
把 p
我 r
的 uj
新 n
生活 vn
和 c
全部 n
喜悦 a
的 uj
心情 n
告诉 v
他 r
… x
… x
十一 m
（ x
薛峰 x
） x
我 r
现在 t
完全 ad
隐入 v
到 v
与 p
贺敏 x
的 uj
热恋 v
中 f
去 v
了 ul
。 x
这 r
一段 m
， x
我 r
几乎 d
每天 r
都 d
要 v
见 v
她 r
。 x
除 p
过 ug
上班 v
， x
所有 b
的 uj
时间 n
都 d
设法 n
和 c
她 r
泡 v
在 p
一起 m
。 x
她 r
是 v
一 m
是 v
各 r
方面 n
都 d
“ x
现代化 vn
” x
了 ul
的 uj
姑娘 n
。 x
衣着 n
不必 d
说 v
， x
爱好 a
也 d
是 v
最 d
时髦 nr
的 uj
。 x
喜欢 v
朦胧诗 n
， x
喜欢 v
硬壳虫音乐 x
， x
喜欢 v
现代派 n
绘画 n
， x
喜欢 v
意识流 n
小说 n
。 x
虽然 c
她 r
的 uj
爱好 a
不 d
一定 d
我 r
就 d
爱好 a
， x
但 c
我 r
仍然 d
装出 v
和 c
她 r
一样 r
爱好 a
， x
甚至 d
比 p
她 r
还要 c
爱好 a
。 x
这 r
全 n
因为 c
我 r
喜欢 v
她 r
。 x
有 v
一次 m
， x
她 r
硬 a
拉 v
我 r
去 v
看 v
一个 m
非 h
公开 ad
的 uj
现代派 n
画展 n
。 x
那些 r
画 v
我 r
实在 v
看不出 v
个 q
所以然 i
来 v
。 x
有 v
的 uj
画 n
看起来 v
就 d
好像 v
是 v
把 p
搅拌 v
起来 v
的 uj
各色 r
颜料 n
， x
随意 d
倒 v
在 p
画布 n
上 f
的 uj
。 x
至于 p
雕塑 n
， x
更是 d
莫名其妙 i
： x
有的是 l
几切 r
废 v
钢管 n
横七竖八 i
焊接 v
在 p
一起 m
； x
有 v
的 uj
干脆 d
就是 d
一块 m
形怪 v
状 ng
的 uj
树根 n
或者 c
打 v
掉 zg
几个 m
豁口 n
破碗 n
― x
― x
只不过 c
下面 f
都 d
冠 v
下 f
名称 n
。 x
每件 d
“ x
作品 n
” x
都 d
配 v
一首 m
朦胧诗 n
， x
读 v
起来 v
像 v
咒 v
一样 r
难解 v
。 x
贺敏 x
完全 ad
被 p
这些 r
“ x
艺术 n
” x
陶醉 nr
了 ul
。 x
她 r
津津乐道 nz
地向 n
我 r
评说 v
这些 r
“ x
作品 n
” x
的 uj
超凡脱俗 i
之 u
处 n
。 x
我 r
自己 r
尽管 c
看不懂 v
， x
但 c
为了 p
投 v
她 r
所 u
好 a
， x
也 d
就 d
跟 p
她 r
瞎说 n
一通 m
。 x
岂 d
不料 n
贺敏 x
对 p
我 r
的 uj
瞎说 n
评 v
颇 d
高 a
， x
说 v
我 r
不愧 a
是 v
个 q
诗人 n
， x
见解 v
极其 d
精辟 v
。 x
这 r
使 v
我 r
哭笑不得 l
。 x
仅 d
从这一点 l
上看 v
， x
就 d
可以 c
知道 v
这个 r
“ x
艺术 n
展览 v
” x
有 v
多么 r
荒唐 a
。 x
不久 a
， x
这个 r
展览会 n
就 d
被 p
查封 v
了 ul
… x
… x
但 c
在 p
这个 r
城市 ns
， x
我们 r
的 uj
去处 v
是 v
很多 m
的 uj
。 x
我们 r
听 v
音乐会 nt
， x
去 v
游泳 vn
， x
去 v
公园 n
和 c
孩子 n
们 k
一声 m
挤 v
着 uz
坐 v
转椅 n
， x
踏 v
跷跷板 n
… x
… x
更多 d
的 uj
时间 n
， x
我 r
都 d
是 v
在 p
她 r
的 uj
宿舍 n
里 f
度过 v
， x
听 v
西方 s
那些 r
古怪 a
的 uj
音乐 n
― x
― x
那 r
声音 n
就 d
像 v
弹棉花 n
一样 r
， x
叮叮 o
咣 o
咣 o
的 uj
。 x
当然 d
， x
我 r
并 c
不 d
感到 v
这 r
一切都是 i
令人 nrt
舒服 a
的 uj
。 x
有时候 l
， x
我 r
也 d
能 v
意识 n
到 v
， x
这种 r
所谓 b
“ x
高级 b
” x
的 uj
生活 vn
， x
实际上 d
埋伏 v
着 uz
一些 m
危机 n
。 x
这 r
将 d
导致 v
我 r
完全 ad
可能 v
变成 v
另外 c
一种 m
人 n
。 x
什么 r
人 n
？ x
我 r
也 d
很难说 l
清楚 a
。 x
但 c
我 r
已经 d
很 d
难 a
从 p
这里 r
拨出来 v
了 ul
。 x
我 r
迷恋 v
贺敏 x
。 x
她 r
当然 d
也 d
不是 c
个 q
妖精 n
， x
而是 c
一个 m
具体 a
的 uj
， x
漂亮 a
的 uj
姑娘 n
。 x
正如 v
我 r
原来 d
预料 n
的 uj
那样 r
， x
和 c
她 r
一同 d
在 p
街道 n
上 f
走过 v
， x
总 b
有 v
许多 m
漾 v
慕 nr
的 uj
目光 n
投向 n
我 r
。 x
这 r
极大 a
地 uv
满足 v
了 ul
我 r
的 uj
虚荣心 i
― x
― x
这种 r
虚荣心 i
也许 d
青年 t
男女 n
都 d
有 v
吧 y
？ x
这 r
恋爱 v
使 v
我 r
每天 r
心神不宁 i
。 x
我 r
的 uj
精力 n
、 x
智慧 nr
全用 n
在 p
了 ul
与 p
贺敏 x
的 uj
周旋 nr
上 f
。 x
为了 p
博得 v
她 r
对 p
我 r
的 uj
更深 d
的 uj
爱 n
， x
我 r
几乎 d
每天 r
都 d
给 p
她 r
写诗 n
― x
― x
恨不得 d
从 p
她 r
的 uj
头发 n
一直 d
赞美 ns
到 v
脚后跟 n
上 f
… x
… x
由于 c
精力 n
不 d
集中 v
， x
工作 vn
无疑 d
受到 v
了 ul
影响 vn
。 x
糟糕 a
的 uj
事 n
终于 d
发生 v
了 ul
： x
我 r
竟 d
把 p
本省 r
两个 m
稍 zg
有名气 l
作者 n
的 uj
稿子 n
退错 v
了 ul
― x
― x
这个 r
人 n
的 uj
稿件 n
装在 v
了 ul
那个 r
人 n
的 uj
信封 v
里 f
。 x
这 r
两个 m
人 n
最近 f
本来 t
就 d
由于 c
寄 v
过 ug
多 m
稿 ng
而 c
刊物 n
没用 v
， x
心里 s
很 d
不 d
高兴 b
， x
现在 t
又 d
发生 v
了 ul
这样 r
的 uj
事 n
， x
使 v
他们 r
非常 d
气愤 n
。 x
他们 r
都 d
直接 ad
给 p
主编 b
写信 v
， x
反映 v
这件 mq
事 n
。 x
在 p
编辑部 n
的 uj
全体会议 n
上 f
， x
主编 b
念 v
了 ul
这 r
两封信 n
， x
并且 c
批评 v
了 ul
我 r
。 x
我 r
本来 t
在 p
编辑部 n
混 v
得 ud
还 d
可以 c
， x
这下 r
可完 v
了 ul
。 x
紧接着 c
， x
倒霉 a
的 uj
事 n
又 d
出现 v
了 ul
： x
我 r
负责 v
校对 v
的 uj
一期 d
诗稿 n
， x
竟然 d
出现 v
了 ul
几处 m
严重错误 i
。 x
这次 r
不仅 c
作者 n
提出 v
了 ul
抗议 nz
， x
连 nr
许多 m
读者 n
出 v
投书 n
编辑部 n
， x
对 p
这种 r
粗疏 a
而 c
不负责任 l
的 uj
工作作风 n
表示 v
了 ul
强烈 a
的 uj
不满 a
。 x
编辑部 n
上下 f
立刻 d
议论纷纷 i
， x
都 d
说 v
这样 r
下去 t
， x
刊物 n
恐怕 d
没有 v
多少 m
人 n
订阅 v
了 ul
。 x
我 r
在 p
编辑部 n
一下子 m
抬不 v
起头 v
了 ul
。 x
主编 b
找 v
我 r
谈 v
了 ul
几次 m
话 n
， x
狠狠 d
刮 v
了 ul
我 r
一顿 m
。 x
这些 r
丢人 v
事 n
使 v
我 r
非常 d
苦恼 a
。 x
为了 p
弥补 v
过失 v
， x
我 r
开始 v
尽量 d
克制 v
着少 v
和 c
贺敏 x
见面 n
。 x
我 r
有时候 l
躺 v
在 p
床上 n
， x
脑子 n
乱 d
成 n
一片 m
， x
对 p
自己 r
的 uj
思想 n
和 c
生活 vn
理不出 v
一个 m
头绪 n
来 v
。 x
我 r
似乎 d
意识 n
到 v
， x
在 p
这些 r
短短的 z
日子 n
里 f
， x
我 r
已经 d
很 d
难 a
把握住 n
自己 r
了 ul
， x
就 d
像 v
醉汉 nr
驾驶 v
一叶 m
小舟 nr
盲目 n
地 uv
航行 n
在 p
狂涛巨浪 i
中 f
， x
随时 d
都 d
面临 v
危险 an
， x
但 c
又 d
充满 a
一种 m
危险 an
中 f
的 uj
快乐 a
。 x
尽管 c
我 r
减少 v
去 v
找 v
贺敏 x
的 uj
次数 n
， x
但 c
她 r
找 v
我 r
的 uj
次数 n
却 d
增加 v
了 ul
， x
因此 c
我们 r
在 p
一起 m
的 uj
时间 n
实际上 d
并 c
没有 v
少 a
。 x
有 v
一次 m
， x
正是 d
工作 vn
间 f
休息 v
的 uj
时候 n
， x
大家 n
都 d
在 p
院子 n
里 f
聊天 nz
。 x
这时 r
， x
贺敏 x
却 d
闯 v
到 v
这 r
地方 n
来 v
找 v
我 r
。 x
我 r
尴尬 a
极了 d
― x
― x
我 r
早 d
吩咐 v
过 ug
她 r
， x
不要 df
在 p
上班时间 l
来 v
找 v
我 r
， x
以免 c
给 p
我 r
造成 v
不好 d
的 uj
影响 vn
― x
― x
我 r
在 p
这里 r
的 uj
影响 vn
已经 d
不好 d
了 ul
。 x
她 r
的 uj
出现 v
， x
立刻 d
引起 v
了 ul
编辑部 n
院内 s
一片 m
无声 d
的 uj
哗然 z
。 x
她 r
太 d
显眼 v
了 ul
！ x
才 d
是 v
五月 t
时光 n
， x
就 d
穿 v
了 ul
一条 m
鲜艳 a
的 uj
裙子 n
， x
而且 c
头发 n
毫无 v
拘束 v
地 uv
披散 v
在 p
肩头 n
。 x
这种 r
服饰 n
打扮 v
在 p
这里 r
只能 v
引起 v
鄙视 v
。 x
贺敏 x
好像 v
根本 a
不在乎 i
这些 r
， x
走到 v
我 r
跟前 f
， x
说 v
有个 r
事 n
要 v
对 p
我 r
说 v
， x
但 c
又 d
不 d
说 v
出来 v
― x
― x
分明 v
是 v
个 q
秘密 n
。 x
在 p
大家 n
看来 v
， x
我俩 r
似乎 d
有 v
什么 r
不可告人 i
的 uj
事 n
。 x
我 r
脸 n
烧 v
得 ud
像 v
一把 m
火 n
， x
只好 d
把 p
她 r
引到 v
我 r
的 uj
宿舍 n
里 f
。 x
一 m
到 v
房子 n
， x
贺敏 x
的 uj
两条 m
胳膊 n
就 d
勾住 v
了 ul
我 r
的 uj
脖子 n
。 x
我 r
极 d
不高兴地 z
推开 v
她 r
， x
说 v
： x
“ x
上班时间 l
你 r
找 v
我 r
什么 r
？ x
有 v
什么 r
不起 v
的 uj
大事 n
呢 y
？ x
你 r
也 d
不 d
看看 v
这 r
是 v
个 q
什么 r
地方 n
！ x
” x
我 r
她 r
不 d
高兴 b
了 ul
， x
说 v
： x
“ x
这 r
是 v
个 q
什么 r
地方 n
？ x
中南海 ns
？ x
” x
我 r
说 v
： x
“ x
你 r
这身 r
打扮 v
太 d
刺眼 v
了 ul
， x
我们 r
这 r
单位 n
很 zg
严肃 a
… x
… x
” x
“ x
巴黎圣母院 ns
！ x
” x
她 r
刻薄 a
地 uv
说 v
。 x
“ x
你 r
究竟 d
有 v
什么 r
事嘛 n
？ x
” x
我 r
问 v
她 r
。 x
她 r
说 v
： x
“ x
下午 t
三点 m
人民 n
剧院 n
有 v
一场 m
电影 n
。 x
现在 t
离开 v
演 v
只 d
剩 v
半个 m
钟头 n
， x
打电话 l
老 a
是 v
占 v
线 n
， x
我 r
就 d
跑 v
来 v
了 ul
。 x
” x
“ x
你 r
这 r
不是 c
开玩笑 v
吗 y
？ x
我 r
上班时间 l
怎 r
能 v
去 v
看 v
电影 n
？ x
” x
我 r
确实 ad
有点 n
生气 n
了 ul
。 x
“ x
不 d
就算 v
了 ul
。 x
不过 c
你 r
可别 v
后悔 v
！ x
” x
“ x
什么 r
电影 n
？ x
” x
“ x
《 x
甘地传 x
》 x
！ x
” x
“ x
《 x
甘地传 x
》 x
？ x
” x
我 r
一下子 m
急 v
了 ul
。 x
我 r
知道 v
， x
这部 r
电影 n
已经 d
风靡 a
全球 n
， x
并且 c
得 ud
了 ul
多项 m
奥斯卡金像奖 nz
。 x
但 c
这部 r
影片 n
我们 r
国家 n
没有 v
进口 vn
， x
怎么 r
会 v
在 p
这个 r
城市 ns
放映 v
呢 y
？ x
我 r
以为 c
她 r
在 p
骗 v
我 r
， x
说 v
： x
“ x
这 r
电影 n
咱们 r
国家 n
没 v
进口 vn
， x
怎 r
能 v
… x
… x
” x
“ x
这 r
片子 n
是 v
美国 ns
可口可乐公司 l
资助 n
拍 v
的 uj
。 x
为了 p
推销 v
他们 r
的 uj
‘ x
汽水 n
’ x
， x
带 v
着 uz
这 r
片子 n
在 p
全世界 n
做广告 n
， x
现在 t
周游 f
到 v
这里 r
来 v
了 ul
， x
并且 c
只能 v
放 v
一场 m
。 x
听说 v
导演 v
也 d
来 v
了 ul
， x
票 n
非常 d
难搞 a
， x
这 r
两张 m
票 n
是 v
我 r
缠 v
我 r
姑父 n
才 d
弄 v
到 v
的 uj
… x
… x
怎么 r
？ x
你 r
不 d
去 v
就算 v
了 ul
！ x
” x
我 r
赶快 d
说 v
： x
“ x
我 r
去 v
！ x
” x
真的 d
， x
这个 r
机会 n
可 v
不能 v
放过 v
！ x
甘地 n
是 v
我 r
小时候 n
就 d
敬仰 nr
的 uj
一位 m
伟人 n
， x
更何况 l
这部 r
电影 n
名声 n
这么 r
大 a
， x
不 d
看 v
太 d
遗憾 a
了 ul
。 x
我 r
很快 d
编造 v
了 ul
一个 m
清假 a
的 uj
现由 n
， x
给 p
吴洁 x
打 v
了 ul
招呼 v
。 x
就 d
和 c
贺敏 x
一同 d
骑车 n
奔 zg
向 p
人民 n
剧院 n
。 x
五月 t
的 uj
阳光 nr
暖洋洋 z
地 uv
照耀 v
在 p
熙熙攘攘 i
的 uj
大街 ns
上 f
。 x
这 r
是 v
一年 m
里 f
一个 m
美好 a
的 uj
季节 n
： x
寒冷 a
已经 d
过 ug
， x
炎热 a
还 d
未 d
到来 d
。 x
人们 n
换上 v
了单 a
的 uj
衣裳 n
， x
尽情 d
地 uv
让 v
温暖 an
的 uj
风 n
吹拂 v
着 uz
。 x
街道 n
两边 f
的 uj
树木 n
， x
已经 d
全部 n
换上 v
了 ul
嫩绿 b
的 uj
新叶 n
， x
叫 v
人 n
看着 v
十分 m
舒心 a
爽气 a
。 x
石榴树 n
正在 t
开花 n
， x
在 p
绿色 n
中 f
像 v
燃烧 v
的 uj
火苗 n
一样 r
耀眼夺目 i
。 x
此时 c
， x
大街 ns
上 f
穿 v
裙子 n
的 uj
姑娘 n
几乎 d
很少 m
见 v
， x
因此 c
我 r
身边 s
的 uj
贺敏 x
极 d
受 v
行人 n
的 uj
注目 n
。 x
当然 d
， x
这 r
不 d
像 v
在 p
我 r
的 uj
单位 n
， x
因此 c
我 r
并 c
不为 v
贺敏 x
害臊 a
， x
心里 s
反而 c
美滋滋 z
的 uj
― x
― x
让 v
陌生 n
的 uj
人们 n
注目 n
吧 y
！ x
这个 r
过早地 l
敢 v
把 p
自己 r
的 uj
腿 n
袒露 v
在 p
阳光 nr
下 f
的 uj
时髦 nr
姑娘 n
， x
正是 d
我 r
的 uj
女朋友 n
！ x
当 t
我们 r
来到 v
电影院 n
门口 s
的 uj
时候 n
， x
这里 r
已经 d
黑鸦 n
鸦的 nz
聚集 v
了 ul
许多 m
人 n
， x
看来 v
大部分 m
人 n
没有 v
票 n
， x
只有 c
怀着 v
一种 m
侥幸心理 vn
， x
看能 v
不能 v
钓个 n
“ x
鱼 n
” x
。 x
这 r
鱼 n
太 d
难 a
钓 v
了 ul
， x
谁 r
愿意 v
放弃 v
这个 r
大饱眼福 nz
的 uj
机会 n
呢 y
？ x
大部分 m
人 n
只好 d
眼睛 n
睁 v
看着 v
少部分 m
人 n
鱼贯进 nr
场 q
。 x
进场 n
的 uj
有 v
的 uj
一看 u
就是 d
领导 n
干部 n
身分 n
的 uj
人 n
， x
但 c
大部分 m
看来 v
都 d
是 v
领导 n
干部 n
的 uj
子女 n
― x
― x
一般 a
都 d
成双成对 i
。 x
所有 b
能 v
进入 v
这种 r
场所 n
的 uj
人 n
， x
大概 d
觉得 v
这 r
不仅 c
是 v
欣赏 v
艺术 n
， x
而且 c
也 d
是 v
来 v
显示 v
某种 r
地位 n
和 c
身分 n
的 uj
， x
因此 c
脸上 s
都 d
带 v
着 uz
一种 m
优越感 b
。 x
这 r
使得 v
进不了 v
场 q
的 uj
人 n
羡慕 v
中 f
带 v
着 uz
某种 r
愤怒 v
。 x
当 p
我 r
自己 r
被 p
贺敏 x
挽 v
着 uz
胳膊 n
穿过 v
人群 n
， x
走向 v
那个 r
小门 n
的 uj
时候 n
， x
就 d
像 v
步入 n
一个 m
神圣 ns
的 uj
殿堂 n
一般 a
。 x
那 r
副 b
样子 n
虽然 c
庄严 a
但 c
肯定 v
经 n
有点 n
可笑 v
了 ul
。 x
影片 n
如同 d
想象 n
的 uj
那般 r
激动人心 n
。 x
赤身裸体 i
、 x
全身 n
只 d
缠 v
一块 m
白布 nr
的 uj
甘地 n
， x
他 r
为 p
国家 n
独立 v
和 c
民族尊严 n
所 c
表现 v
出来 v
和 c
伟大 a
献身精神 n
， x
强烈 a
地 uv
震撼 v
着 uz
人 n
的 uj
心灵 n
… x
… x
我 r
敛声屏气 i
地 uv
看完 v
了 ul
这部 r
电影 n
。 x
我 r
送走 v
贺敏 x
， x
仍然 d
长久 d
地 uv
沉浸 v
在 p
电影 n
的 uj
情节 n
中 f
， x
甚至 d
返回 v
单位 n
时 ng
都 d
没有 v
骑 v
自行车 n
， x
一直 d
推 v
着 uz
车子 n
走 v
去 v
。 x
单位 n
上 f
已经 d
下班 v
了 ul
。 x
我 r
来到 v
门房 n
取 v
报纸 n
和 c
信 n
。 x
我 r
一眼 m
就 d
看见 v
了 ul
郑小芳 x
给 p
我 r
的 uj
信 n
。 x
我 r
一把 m
拿 v
起来 v
， x
心里 s
热辣辣 z
地 uv
， x
像 v
寒 n
进来 v
一把 m
火 n
。 x
我 r
回到 v
宿舍 n
， x
用 p
发抖 v
的 uj
手 n
拆开 v
了 ul
她 r
的 uj
信 n
。 x
她 r
用 p
火 n
一样 r
热情 n
的 uj
语言 n
， x
描述 v
了 ul
她 r
在 p
沙漠 n
里 f
所 u
开始 v
的 uj
生活 vn
和 c
感受 v
； x
并且 c
仍然 d
用 p
那么 r
赤诚 nr
的 uj
语言表达 n
了 ul
她 r
思念 n
我 r
的 uj
深情 n
… x
… x
我 r
躺倒 v
在 p
床上 n
， x
望 v
着 uz
屋顶 n
久久 d
地 uv
发呆 v
。 x
我 r
似乎 d
看见 v
她 r
正 d
风沙 n
滚滚 z
的 uj
路上 s
向 p
我 r
走来 v
， x
而 c
身上 s
也 d
缠 v
着 uz
一块 m
白块 n
… x
… x
是 v
的 uj
， x
我 r
太 d
对不起 l
她 r
了 ul
！ x
我 r
已经 d
瞒 v
着 uz
她 r
和 c
另外 c
一个 m
姑娘 n
恋爱 v
， x
而 c
好长时间 n
也 d
不 d
给 p
写信 v
。 x
我 r
啊 y
我 r
啊 y
！ x
我 r
即使 c
没有勇气 l
跟 p
她 r
去 v
生活 vn
， x
但 c
起码 n
再 d
不 d
应该 v
对 p
她 r
隐瞒 v
自己 r
和 c
贺敏 x
的 uj
关系 n
了 ul
。 x
我 r
决定 v
马上 d
给 p
郑小芳 x
写信 v
， x
对 p
她 r
说 v
清楚 a
我 r
现在 t
的 uj
一切 r
。 x
我 r
写 v
好 a
信 n
， x
又 d
来到 v
了 ul
大街 ns
上 f
。 x
当 p
我 r
走到 v
邮筒 n
前时 t
， x
手 n
却 d
抖 v
得 ud
像 v
筛糠 v
一样 r
， x
怎么 r
也 d
把 p
那 r
封信 nr
投不 v
进去 v
了 ul
。 x
我 r
看见 v
邮筒 n
上 f
的 uj
那 r
道 q
缝 v
， x
像 v
一个 m
微微 d
张开 nr
的 uj
严厉 ad
的 uj
嘴巴 n
… x
… x
我 r
犹豫 a
了 ul
半天 m
， x
这 r
封信 nr
还是 c
没有 v
投进去 v
。 x
我 r
把 p
信 n
又 d
装进 v
自己 r
的 uj
口袋 n
里 f
， x
怀着 v
极其 d
痛苦 an
的 uj
心情 n
又 d
回到 v
了 ul
单位 n
。 x
十二 m
（ x
郑小芳 x
） x
你 r
不要 df
以为 c
沙漠 n
的 uj
气候 n
总是 c
那么 r
叫 v
人 n
讨厌 v
。 x
沙漠 n
也 d
同样 d
有 v
清爽 a
的 uj
风 n
， x
沁人心肺 i
的 uj
细密 a
的 uj
雨丝 n
， x
以及 c
别的 r
地方 n
没有 v
的 uj
新鲜空气 nt
和 c
洁净 z
的 uj
地面 n
。 x
现在 t
， x
一场 m
雨 n
过后 t
， x
沙漠 n
完全 ad
又 d
是 v
另 r
一个 m
面貌 n
了 ul
。 x
一些 m
有 v
水 n
或者 c
潮湿 a
的 uj
地方 n
， x
绿色 n
的 uj
生命 vn
已经 d
顽强 a
地 uv
生长 n
。 x
所有 b
的 uj
乔木 nr
、 x
灌木 n
、 x
也 d
开始 v
缀 v
上 f
鲜嫩 a
的 uj
绿叶 n
， x
给 p
人 n
一种 m
生机盎然 l
的 uj
景象 n
。 x
远处 s
无边 d
的 uj
沙漠 n
， x
像 v
一个 m
巨大 a
而 c
动荡不安 i
的 uj
海 n
突然 ad
凝固 v
不动 v
了 ul
。 x
真 d
有意思 l
！ x
那些 r
在 p
初春 t
的 uj
大风 n
中 f
滚动 v
过 ug
的 uj
沙兵 n
， x
现在 t
却 d
像 v
无数 m
头 n
疲倦 a
的 uj
黄牛 nr
卧伏 v
在 p
地 n
， x
但 c
它们 r
还 d
保留 v
着 uz
运动 vn
时 ng
的 uj
姿态 n
。 x
沙丘 nr
的 uj
曲线 n
妙不可言 i
； x
整个 b
大 a
沙漠 n
就是 d
用 p
这些 r
互相 d
衔接 v
的 uj
、 x
无数 m
美妙 a
的 uj
抛物线 n
而 c
组成 v
。 x
农场 n
周围 f
更是 d
变得 v
让 v
人 n
有 v
一种 m
说不出来 l
的 uj
喜悦 a
。 x
由于 c
这里 r
树木 n
多 m
， x
从远 d
方向 n
这里 r
看 v
， x
已经 d
是 v
绿 a
蒙蒙 nr
一片 m
了 ul
。 x
有些 r
无名 v
的 uj
小黄花 n
， x
像 v
碎金 n
一般 a
点缀 v
在 p
草木 n
间 f
。 x
如果 c
在 p
城市 ns
和 c
肥活 a
的 uj
平原 ns
， x
这些 r
草木 n
花朵 n
也许 d
并 c
不 d
怎样 r
令人 nrt
稀罕 a
， x
可 v
这里 r
是 v
沙漠 n
呀 y
！ x
我们 r
的 uj
农场 n
据 p
详 ag
朱 nr
来 v
只是 c
一个 m
低洼 a
的 uj
滩地 n
， x
由于 c
远方 s
的 uj
沙漠 n
在 p
大雨 n
过后 t
来不及 v
吸吮 v
它 r
的 uj
水流 n
， x
然后 c
就 d
漫 a
过来 t
， x
聚汇 n
在 p
了 ul
这里 r
。 x
年 m
经 p
月 m
久 a
， x
竟然 d
形成 v
一个 m
大 a
水潭 n
。 x
沙漠 n
里 f
的 uj
人 n
爱 v
水 n
如 v
命 n
， x
见 v
大自然 d
给 p
他们 r
送来 v
这么 r
大 a
一片 m
水 n
， x
喜欢 v
得 ud
不得了 l
。 x
在 p
热天 n
， x
周围 f
的 uj
农牧民 n
就 d
成群结队 i
一 m
这里 r
洗澡 v
、 x
游泳 vn
， x
结果 n
先后 t
淹死 v
远 a
许多 m
人 n
。 x
迷信 v
的 uj
农民 n
认为 v
这 r
水里 s
养起 v
了 ul
妖精 n
， x
便 d
用 p
人工 n
把 p
这 r
潭水 n
排入 v
了 ul
远方 s
的 uj
波浪 nz
河 ns
。 x
水流 n
走 v
后 f
， x
地上 s
渐渐 d
出现 v
一层 m
植被 n
。 x
后来 t
就 d
在 p
这里 r
建起 v
了 ul
农场 n
。 x
经过 p
十几年 m
的 uj
营造 vn
， x
这里 r
已经 d
出现 v
了 ul
大片 n
的 uj
农田 n
和林 nz
草 n
… x
… x
现在 t
我 r
来到 v
这里 r
， x
正是 d
企图 n
扩大 v
这 r
片 q
绿 a
颜色 n
的 uj
。 x
令人遗憾 i
的 uj
是 v
， x
这 r
农场 n
现在 t
的 uj
领导人 n
看来 v
对 p
我 r
的 uj
工作 vn
并 c
不 d
热 a
。 x
但是 c
， x
不 d
管理 vn
怎样 r
， x
既然 c
来 v
了 ul
， x
非要 b
干出 v
个 m
名堂 n
不可 v
！ x
经过 p
一段 m
紧张 a
的 uj
准备 v
工作 vn
后 f
， x
花棒 n
的 uj
种植 v
就 d
开始 v
了 ul
。 x
公社 n
组织 v
了 ul
九个 m
生产队 n
上百 j
个人 n
， x
准备 v
把 p
四千多 m
斤 m
花棒 n
籽种 n
播入 v
将近 t
一 m
万亩 m
的 uj
沙丘 nr
上 f
。 x
这 r
一天 m
， x
远远近近 n
的 uj
农牧民 n
们 k
， x
有 v
的 uj
步行 n
来 v
， x
有 v
的 uj
骑马 n
来 v
， x
有 v
的 uj
坐 v
着 uz
拖拉机 n
来 v
， x
纷纷 d
聚集 v
到 v
农场 n
西边 s
的 uj
草滩 n
上 f
。 x
我 r
一下子成 m
了 ul
一个 m
大 a
战役 n
的 uj
总指挥 n
， x
忙 v
得 ud
前后 f
乱跑 v
。 x
吴有雄 x
充当 a
我 r
的 uj
助手 n
， x
和 c
我 r
分头 v
给 p
各队 r
的 uj
负责人 n
讲解 v
播种 v
技术 n
。 x
吴有雄 x
相当 d
灵 nr
， x
也 d
爱 v
钻研 n
， x
我 r
只 d
给 p
他 r
说 v
过 ug
一次 m
， x
他 r
就 d
把 p
有关 vn
的 uj
技术 n
要求 v
记熟 v
了 ul
。 x
曹生荣 x
自 p
食 v
前言 n
， x
推说 v
农活 n
忙 v
， x
只 d
给 p
我 r
打发 v
来 v
几个 m
工人 n
。 x
但 c
我 r
并 c
不 d
沮丧 a
， x
因为 c
公社赵书记 x
也 d
亲自 d
上阵 v
来 v
帮助 v
我 r
了 ul
。 x
播种 v
工作 vn
进行 v
得 ud
相当 d
混乱 a
， x
有人 r
为了 p
早 a
完工 v
， x
故意 d
不 d
按 p
技术 n
要求 v
播种 v
。 x
我 r
， x
吴有雄 x
， x
赵书记 x
， x
不时 c
地 uv
在 p
几十个 m
大 a
沙梁 n
上 f
跑来跑去 l
照应 v
。 x
经过 p
两天 m
乱哄哄 z
的 uj
忙碌 a
， x
播种 v
工作 vn
基本 n
搞完 v
了 ul
。 x
当 t
所有 b
的 uj
人马 n
撤走 v
以后 f
， x
我 r
就 d
不由得 d
一个 m
人 n
在 p
这些 r
沙梁 nr
上 f
转来转去 i
， x
心情 n
就 d
像 v
一个 m
指挥 v
士兵 n
打 v
了 ul
胜仗 n
的 uj
将军 n
一样 r
视察 v
激战 v
后 f
的 uj
战场 n
。 x
我 r
极其 d
快乐 a
地 uv
想到 v
， x
用 p
不了 v
几年 m
， x
这些 r
多少 m
年 m
寸草不生 i
的 uj
地方 n
， x
将 d
会 v
被 p
茂密 a
